 894070 zhining   20   0 4800464  57124  22172 D  64.7   0.1   0:00.12 db_bench
 894070 zhining   20   0 4858948 112916  23144 D   0.0   0.2   0:00.19 db_bench
 894070 zhining   20   0 4858948 112916  23144 D   0.0   0.2   0:00.19 db_bench
 894070 zhining   20   0 4858948 112916  23144 D   0.0   0.2   0:00.19 db_bench
 894070 zhining   20   0 4858948 112916  23144 D   0.0   0.2   0:00.19 db_bench
 894070 zhining   20   0 4858948 112916  23144 D   0.0   0.2   0:00.19 db_bench
 894070 zhining   20   0 4858948 112916  23144 D   0.0   0.2   0:00.19 db_bench
 894070 zhining   20   0 4858948 112916  23144 D   5.9   0.2   0:00.21 db_bench
 894070 zhining   20   0 6894788 166784  23472 D   0.0   0.3   0:00.33 db_bench
 894070 zhining   20   0 6894788 166784  23472 D   0.0   0.3   0:00.33 db_bench
 894070 zhining   20   0 6894788 166784  23472 D   0.0   0.3   0:00.33 db_bench
 894070 zhining   20   0 6894788 166784  23472 D   0.0   0.3   0:00.33 db_bench
 894070 zhining   20   0 6894788 166784  23472 D   0.0   0.3   0:00.33 db_bench
 894070 zhining   20   0 6894788 166784  23472 D   0.0   0.3   0:00.33 db_bench
 894070 zhining   20   0 6894788 166784  23472 D   5.9   0.3   0:00.34 db_bench
 894070 zhining   20   0 8930628 220112  23476 D   0.0   0.3   0:00.46 db_bench
 894070 zhining   20   0 8930628 220112  23476 D   0.0   0.3   0:00.46 db_bench
 894070 zhining   20   0 8930628 220112  23476 D   0.0   0.3   0:00.46 db_bench
 894070 zhining   20   0 8930628 220112  23476 D   0.0   0.3   0:00.46 db_bench
 894070 zhining   20   0 8930628 220112  23476 D   0.0   0.3   0:00.46 db_bench
 894070 zhining   20   0 8930628 220112  23476 D   0.0   0.3   0:00.46 db_bench
 894070 zhining   20   0 8930628 220112  23476 D   0.0   0.3   0:00.46 db_bench
 894070 zhining   20   0   10.5g 273440  23480 D   0.0   0.4   0:00.60 db_bench
 894070 zhining   20   0   10.5g 273440  23480 D   0.0   0.4   0:00.60 db_bench
