2914668 zhining   20   0 4800460  44780  21720 R  58.8   0.1   0:00.10 db_bench
2914668 zhining   20   0 8877268 166380  23052 D  58.8   0.3   0:00.97 db_bench
2914668 zhining   20   0   12.4g 343412  23572 S 105.9   0.5   0:02.13 db_bench
2914668 zhining   20   0   12.7g 390440  23892 S 129.4   0.6   0:03.91 db_bench
2914668 zhining   20   0   13.0g 650212 281688 S 122.2   1.0   0:05.76 db_bench
2914668 zhining   20   0   13.1g   1.0g 668820 S 158.8   1.6   0:07.64 db_bench
2914668 zhining   20   0   13.3g   1.5g   1.1g S 188.2   2.4   0:09.54 db_bench
2914668 zhining   20   0   13.4g   1.7g   1.3g S 176.5   2.7   0:11.46 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S 127.8   3.0   0:13.33 db_bench
2914668 zhining   20   0   13.4g   1.8g   1.5g S  76.5   3.0   0:13.96 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S  47.1   3.0   0:14.32 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S  77.8   3.0   0:14.73 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S  52.9   3.0   0:15.58 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S  52.9   3.0   0:16.24 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S  50.0   3.0   0:16.87 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S  47.1   3.0   0:17.53 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S  52.9   3.0   0:18.19 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S  52.9   3.0   0:18.84 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S  52.9   3.0   0:19.49 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S  58.8   3.0   0:20.13 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S  52.9   3.0   0:20.76 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S  50.0   3.0   0:21.42 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S  47.1   3.0   0:22.17 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S  47.1   3.0   0:22.76 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S  52.9   3.0   0:23.35 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S  52.9   3.0   0:23.94 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S  41.2   3.0   0:24.52 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S  47.1   3.0   0:25.12 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S  50.0   3.0   0:25.71 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S  41.2   3.0   0:26.29 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S  44.4   3.0   0:26.89 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S  52.9   3.0   0:27.49 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S  44.4   3.0   0:28.08 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S  52.9   3.0   0:28.69 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S  50.0   3.0   0:29.29 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S  47.1   3.0   0:29.87 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S  44.4   3.0   0:30.47 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S  47.1   3.0   0:31.07 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S  44.4   3.0   0:31.78 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S  41.2   3.0   0:32.32 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S  41.2   3.0   0:32.87 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S  41.2   3.0   0:33.42 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S  41.2   3.0   0:33.96 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S  50.0   3.0   0:34.51 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S  47.1   3.0   0:35.05 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S  41.2   3.0   0:35.59 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S  47.1   3.0   0:36.15 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S  47.1   3.0   0:36.70 db_bench
2914668 zhining   20   0   13.4g   1.9g   1.5g S 188.2   3.0   0:37.88 db_bench
2914668 zhining   20   0   13.3g   1.7g   1.4g S 241.2   2.8   0:40.62 db_bench
2914668 zhining   20   0   13.3g   1.4g   1.0g S 182.4   2.2   0:42.61 db_bench
2914668 zhining   20   0   13.6g   2.0g   1.7g S 141.2   3.2   0:44.50 db_bench
2914668 zhining   20   0   13.6g   2.1g   1.7g S  94.1   3.3   0:46.83 db_bench
2914668 zhining   20   0   13.7g   2.1g   1.8g S 205.9   3.4   0:48.87 db_bench
2914668 zhining   20   0   13.7g   2.1g   1.8g S 123.5   3.4   0:50.68 db_bench
2914668 zhining   20   0   13.7g   2.4g   2.0g S  11.8   3.8   0:51.16 db_bench
2914668 zhining   20   0   13.7g   2.4g   2.0g S  11.8   3.8   0:51.45 db_bench
2914668 zhining   20   0   13.7g   2.4g   2.0g S  58.8   3.8   0:52.13 db_bench
2914668 zhining   20   0   13.7g   2.4g   2.0g S  58.8   3.8   0:52.87 db_bench
2914668 zhining   20   0   13.7g   2.4g   2.0g S  64.7   3.8   0:53.63 db_bench
2914668 zhining   20   0   13.7g   2.4g   2.0g S  47.1   3.8   0:54.45 db_bench
2914668 zhining   20   0   13.7g   2.4g   2.0g S  52.9   3.8   0:55.11 db_bench
2914668 zhining   20   0   13.7g   2.4g   2.0g S  58.8   3.8   0:55.78 db_bench
2914668 zhining   20   0   13.7g   2.4g   2.0g S  58.8   3.8   0:56.44 db_bench
2914668 zhining   20   0   13.7g   2.4g   2.0g S  52.9   3.8   0:57.10 db_bench
2914668 zhining   20   0   13.7g   2.4g   2.0g S  55.6   3.8   0:57.77 db_bench
2914668 zhining   20   0   13.7g   2.4g   2.0g S  47.1   3.8   0:58.42 db_bench
2914668 zhining   20   0   13.7g   2.4g   2.0g S  52.9   3.8   0:59.07 db_bench
2914668 zhining   20   0   13.7g   2.4g   2.0g S  52.9   3.8   0:59.74 db_bench
2914668 zhining   20   0   13.7g   2.4g   2.0g S  58.8   3.8   1:00.42 db_bench
2914668 zhining   20   0   13.7g   2.4g   2.0g S  52.9   3.8   1:01.08 db_bench
2914668 zhining   20   0   13.7g   2.4g   2.0g S  52.9   3.8   1:01.75 db_bench
2914668 zhining   20   0   13.7g   2.4g   2.0g S  50.0   3.8   1:02.43 db_bench
2914668 zhining   20   0   13.7g   2.4g   2.0g S  58.8   3.8   1:03.12 db_bench
2914668 zhining   20   0   13.7g   2.4g   2.0g S  52.9   3.8   1:03.80 db_bench
2914668 zhining   20   0   13.7g   2.4g   2.0g S  55.6   3.8   1:04.47 db_bench
2914668 zhining   20   0   13.7g   2.4g   2.0g S  64.7   3.8   1:05.14 db_bench
2914668 zhining   20   0   13.7g   2.4g   2.0g S  76.5   3.8   1:05.84 db_bench
2914668 zhining   20   0   13.7g   2.4g   2.0g S  44.4   3.8   1:06.61 db_bench
2914668 zhining   20   0   13.7g   2.4g   2.0g S  47.1   3.8   1:07.22 db_bench
2914668 zhining   20   0   13.7g   2.4g   2.0g S  50.0   3.8   1:07.84 db_bench
2914668 zhining   20   0   13.7g   2.4g   2.0g S  52.9   3.8   1:08.45 db_bench
2914668 zhining   20   0   13.7g   2.4g   2.0g S  41.2   3.8   1:09.03 db_bench
2914668 zhining   20   0   13.7g   2.4g   2.0g S  52.9   3.8   1:09.64 db_bench
2914668 zhining   20   0   13.7g   2.4g   2.0g S  50.0   3.8   1:10.25 db_bench
2914668 zhining   20   0   13.2g   1.4g   1.0g S 429.4   2.2   1:13.53 db_bench
2914668 zhining   20   0   13.2g   1.9g   1.5g S 400.0   3.1   1:18.80 db_bench
2914668 zhining   20   0   13.2g   2.0g   1.5g S 200.0   3.1   1:21.62 db_bench
2914668 zhining   20   0   13.2g   2.0g   1.5g S 152.9   3.1   1:24.40 db_bench
2914668 zhining   20   0   13.4g   2.0g   1.6g S 194.1   3.3   1:26.73 db_bench
2914668 zhining   20   0   13.5g   2.2g   1.8g S 222.2   3.5   1:29.11 db_bench
2914668 zhining   20   0   13.6g   2.1g   1.6g S 217.6   3.3   1:31.30 db_bench
2914668 zhining   20   0   13.7g   1.9g   1.5g S  68.8   3.1   1:33.30 db_bench
2914668 zhining   20   0   13.7g   2.4g   2.0g S  16.7   3.9   1:33.63 db_bench
2914668 zhining   20   0   13.7g   2.4g   2.0g S  17.6   3.9   1:33.89 db_bench
2914668 zhining   20   0   13.7g   2.5g   2.0g S 129.4   3.9   1:34.48 db_bench
2914668 zhining   20   0   13.7g   2.5g   2.0g S  64.7   3.9   1:35.21 db_bench
