____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Tue Sep 16 17:13:26 2025

Kernel Version;Linux version 5.15.0-107-generic
System Name;ASUSTeK COMPUTER INC.WS X299 SAGESystem Version
CPU Information;36 Intel(R) Core(TM) i9-10980XE CPU @ 3.00GHz
OS Information;Ubuntu 20.04.6 LTS

Target: 1 units/s;System:  52965.8 wakeup/s;CPU:  290.7% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
 31.1%;6354.1;Process;[PID 2624253] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  25.6 W  
 26.8%;5849.4;Process;[PID 2624245] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  23.5 W  
 23.8%;5229.7;Process;[PID 2624251] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  21.0 W  
 24.0%;5187.0;Process;[PID 2624249] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  20.9 W  
 23.2%;4831.7;Process;[PID 2624247] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  19.4 W  
  1.8%;3137.6;Timer;tick_sched_timer;  12.4 W  
 14.4%;2699.7;Process;[PID 2624252] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  10.9 W  
  2.0%;2340.7;Interrupt;[88] nvme3q4;  9.28 W  
  8.6%;1805.4;Process;[PID 2624248] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  7.27 W  
  1.3%;1298.8;Interrupt;[93] nvme3q9;  5.15 W  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
POLL;  0.1%
C1;  8.8%
C1E;  6.9%
C6; 73.7%
;
;
;
;
;

;Core 0
POLL;  0.2%
C1; 10.9%
C1E; 18.0%
C6; 54.9%
;Core 1
POLL;  0.0%
C1;  1.3%
C1E;  9.7%
C6; 83.4%
;Core 2
POLL;  0.0%
C1;  4.3%
C1E;  2.4%
C6; 85.7%
;Core 3
POLL;  0.1%
C1; 18.6%
C1E;  6.1%
C6; 57.6%
;Core 4
POLL;  0.0%
C1;  2.6%
C1E;  4.1%
C6; 82.7%
;Core 8
POLL;  0.0%
C1;  5.1%
C1E;  2.1%
C6; 86.7%
;Core 9
POLL;  0.0%
C1;  3.7%
C1E;  8.5%
C6; 78.7%
;Core 10
POLL;  0.0%
C1;  2.0%
C1E;  4.4%
C6; 89.3%
;Core 11
POLL;  0.1%
C1; 15.0%
C1E;  4.3%
C6; 63.8%
;Core 16
POLL;  0.1%
C1; 14.2%
C1E;  7.1%
C6; 66.0%
;Core 17
POLL;  0.0%
C1;  5.1%
C1E;  5.9%
C6; 83.5%
;Core 18
POLL;  0.4%
C1;  9.8%
C1E;  7.5%
C6; 68.0%
;Core 19
POLL;  0.0%
C1; 15.2%
C1E;  8.3%
C6; 60.2%
;Core 20
POLL;  0.0%
C1; 10.5%
C1E;  5.1%
C6; 65.5%
;Core 24
POLL;  0.0%
C1; 11.1%
C1E;  6.3%
C6; 70.7%
;Core 25
POLL;  0.0%
C1; 12.5%
C1E;  7.2%
C6; 66.6%
;Core 26
POLL;  0.0%
C1;  5.3%
C1E; 12.9%
C6; 74.5%
;Core 27
POLL;  0.1%
C1;  9.3%
C1E;  3.6%
C6; 73.0%
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;

CPU;0;CPU;18
POLL;  0.5%;   0.0 ms;  0.0%;   0.0 ms
C1; 18.5%;   0.1 ms;  3.2%;   0.1 ms
C1E; 29.2%;   0.3 ms;  6.8%;   0.4 ms
C6; 26.9%;   0.7 ms; 82.8%;   2.3 ms
CPU;1;CPU;19
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  1.7%;   0.1 ms;  0.8%;   0.1 ms
C1E;  4.8%;   0.4 ms; 14.6%;   0.4 ms
C6; 85.4%;   2.3 ms; 81.2%;   2.4 ms
CPU;2;CPU;20
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  8.2%;   0.1 ms;  0.3%;   0.1 ms
C1E;  2.9%;   0.4 ms;  1.9%;   0.5 ms
C6; 77.0%;   2.4 ms; 94.2%;   2.6 ms
CPU;3;CPU;21
POLL;  0.1%;   0.0 ms;  0.0%;   0.0 ms
C1; 36.6%;   0.1 ms;  0.6%;   0.2 ms
C1E;  7.3%;   0.3 ms;  5.0%;   0.3 ms
C6; 23.3%;   1.0 ms; 91.9%;   4.7 ms
CPU;4;CPU;22
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  5.1%;   0.1 ms;  0.0%;   0.0 ms
C1E;  5.3%;   0.7 ms;  3.0%;   0.2 ms
C6; 73.0%;   3.5 ms; 92.3%;   2.5 ms
CPU
5;CPU;23;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1; 10.1%
   0.1 ms;  0.1%;   0.3 ms;C1E;  3.9%
   0.3 ms;  0.2%;   0.4 ms;C6; 74.3%
   1.8 ms; 98.9%;  16.4 ms;CPU
6;CPU;24;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1;  7.3%
   0.1 ms;  0.2%;   0.5 ms;C1E;  4.9%
   0.4 ms; 12.1%;   0.3 ms;C6; 71.9%
   1.6 ms; 85.5%;   3.5 ms;CPU
7;CPU;25;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1;  3.5%
   0.1 ms;  0.5%;   0.1 ms;C1E;  7.7%
   0.4 ms;  1.1%;   0.5 ms;C6; 82.0%
   1.9 ms; 96.5%;   4.1 ms;CPU
8;CPU;26;POLL;  0.3%
   0.0 ms;  0.0%;   0.0 ms;C1; 29.7%
   0.1 ms;  0.3%;   1.3 ms;C1E;  8.6%
   0.3 ms;  0.0%;   0.0 ms;C6; 28.0%
   0.6 ms; 99.5%;  25.9 ms;
CPU;9
CPU;27;POLL;  0.2%;   0.0 ms
  0.0%;   0.0 ms;C1; 28.1%;   0.1 ms
  0.3%;   0.8 ms;C1E; 14.1%;   0.4 ms
  0.1%;   0.1 ms;C6; 33.1%;   1.1 ms
 98.9%;   8.4 ms;CPU;10
CPU;28;POLL;  0.1%;   0.0 ms
  0.0%;   0.0 ms;C1;  9.8%;   0.1 ms
  0.4%;   1.9 ms;C1E; 10.2%;   0.4 ms
  1.7%;   0.5 ms;C6; 69.5%;   2.2 ms
 97.3%;  10.7 ms;CPU;11
CPU;29;POLL;  0.9%;   0.0 ms
  0.0%;   0.0 ms;C1; 18.6%;   0.1 ms
  1.0%;   0.1 ms;C1E;  8.4%;   0.1 ms
  6.7%;   0.4 ms;C6; 45.6%;   0.4 ms
 90.3%;   6.0 ms;CPU;12
CPU;30;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1; 25.8%;   0.1 ms
  4.5%;   0.1 ms;C1E;  3.4%;   0.3 ms
 13.1%;   0.5 ms;C6; 40.9%;   1.5 ms
 79.5%;   7.0 ms;CPU;13
CPU;31;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1; 20.7%;   0.1 ms
  0.3%;   0.1 ms;C1E;  6.9%;   0.6 ms
  3.2%;   1.6 ms;C6; 35.5%;   1.0 ms
 95.5%;  24.8 ms;
CPU;14;CPU;32
POLL;  0.1%;   0.0 ms;  0.0%;   0.0 ms
C1; 21.5%;   0.1 ms;  0.8%;   0.1 ms
C1E; 10.3%;   0.6 ms;  2.4%;   0.5 ms
C6; 46.1%;   1.9 ms; 95.2%;  12.2 ms
CPU;15;CPU;33
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1; 24.9%;   0.1 ms;  0.0%;   0.0 ms
C1E;  5.6%;   0.4 ms;  8.9%;   0.4 ms
C6; 44.0%;   2.0 ms; 89.0%;   3.7 ms
CPU;16;CPU;34
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1; 10.5%;   0.1 ms;  0.0%;   0.0 ms
C1E;  4.7%;   0.5 ms; 21.1%;   0.3 ms
C6; 73.1%;   3.1 ms; 75.8%;   7.0 ms
CPU;17;CPU;35
POLL;  0.3%;   0.0 ms;  0.0%;   0.0 ms
C1; 18.7%;   0.1 ms;  0.0%;   0.0 ms
C1E;  6.1%;   0.3 ms;  1.0%;   0.5 ms
C6; 48.2%;   0.8 ms; 97.7%;   7.5 ms
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
