____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Tue Sep 16 14:02:46 2025

Kernel Version;Linux version 5.15.0-107-generic
System Name;ASUSTeK COMPUTER INC.WS X299 SAGESystem Version
CPU Information;36 Intel(R) Core(TM) i9-10980XE CPU @ 3.00GHz
OS Information;Ubuntu 20.04.6 LTS

Target: 1 units/s;System:  28243.3 wakeup/s;CPU:  279.8% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
 35.2%;5947.1;Process;[PID 2565945] /home/zhining/rocksdb-9.0.0-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,stats;  24.0 W  
 43.2%;5787.2;Process;[PID 2565947] /home/zhining/rocksdb-9.0.0-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,stats;  23.5 W  
 30.2%;5070.4;Process;[PID 2565943] /home/zhining/rocksdb-9.0.0-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,stats;  20.5 W  
  1.1%;2279.5;Timer;tick_sched_timer;  9.02 W  
 69.0%;1211.4;Process;[PID 2565946] /home/zhining/rocksdb-9.0.0-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,stats;  5.86 W  
 19.5%;705.6;Process;[PID 2565981] /home/zhining/rocksdb-9.0.0-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,stats;  3.09 W  
  0.4%;676.8;Interrupt;[197] nvme2q14;  2.68 W  
  0.4%;555.0;Process;[PID 4956] kube-apiserver --advertise-address=172.19.0.4 --allow-privileged=true --authorization-mode=Node,RBAC --client-ca-fil;  2.20 W  
  0.4%;522.5;Interrupt;[203] nvme2q18;  2.07 W  
 18.7%;431.4;Process;[PID 2059] /opt/todesk/bin/ToDesk ;  2.00 W  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
POLL;  0.0%
C1;  3.9%
C1E;  3.6%
C6; 84.6%
;
;
;
;
;

;Core 0
POLL;  0.0%
C1;  4.7%
C1E;  3.8%
C6; 76.4%
;Core 1
POLL;  0.0%
C1;  2.3%
C1E;  7.1%
C6; 82.5%
;Core 2
POLL;  0.0%
C1;  0.3%
C1E;  6.0%
C6; 87.5%
;Core 3
POLL;  0.0%
C1; 10.2%
C1E;  1.5%
C6; 71.1%
;Core 4
POLL;  0.0%
C1;  5.7%
C1E;  1.5%
C6; 84.2%
;Core 8
POLL;  0.0%
C1;  2.1%
C1E;  2.5%
C6; 91.3%
;Core 9
POLL;  0.0%
C1;  0.0%
C1E;  0.5%
C6; 97.4%
;Core 10
POLL;  0.0%
C1;  0.0%
C1E;  3.9%
C6; 93.4%
;Core 11
POLL;  0.0%
C1;  7.3%
C1E;  3.9%
C6; 76.0%
;Core 16
POLL;  0.0%
C1;  2.6%
C1E;  5.4%
C6; 84.2%
;Core 17
POLL;  0.0%
C1;  0.9%
C1E;  1.1%
C6; 92.9%
;Core 18
POLL;  0.0%
C1;  0.2%
C1E;  0.4%
C6; 97.8%
;Core 19
POLL;  0.0%
C1;  0.3%
C1E;  0.8%
C6; 97.5%
;Core 20
POLL;  0.2%
C1;  9.9%
C1E;  2.1%
C6; 63.0%
;Core 24
POLL;  0.0%
C1; 10.4%
C1E;  6.7%
C6; 72.3%
;Core 25
POLL;  0.0%
C1;  2.5%
C1E;  1.0%
C6; 92.8%
;Core 26
POLL;  0.0%
C1;  1.9%
C1E;  2.1%
C6; 92.6%
;Core 27
POLL;  0.1%
C1;  8.9%
C1E; 13.1%
C6; 54.7%
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;

CPU;0;CPU;18
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  9.2%;   0.1 ms;  0.1%;   0.1 ms
C1E;  5.2%;   0.7 ms;  2.4%;   0.5 ms
C6; 57.8%;   2.3 ms; 94.9%;   5.0 ms
CPU;1;CPU;19
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  2.2%;   0.1 ms;  2.4%;   0.1 ms
C1E;  5.3%;   0.3 ms;  9.0%;   0.4 ms
C6; 81.6%;   2.4 ms; 83.4%;   4.3 ms
CPU;2;CPU;20
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  0.4%;   0.2 ms;  0.1%;   0.1 ms
C1E;  2.7%;   0.2 ms;  9.2%;   0.2 ms
C6; 87.6%;   1.5 ms; 87.2%;   1.9 ms
CPU;3;CPU;21
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1; 16.8%;   0.1 ms;  3.7%;   0.1 ms
C1E;  1.3%;   0.2 ms;  1.6%;   0.5 ms
C6; 51.8%;   4.6 ms; 90.3%;   4.3 ms
CPU;4;CPU;22
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1; 11.5%;   0.1 ms;  0.0%;   0.0 ms
C1E;  2.7%;   0.3 ms;  0.2%;   0.2 ms
C6; 69.3%;   4.7 ms; 98.9%;   4.8 ms
CPU
5;CPU;23;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1;  4.3%
   0.1 ms;  0.0%;   0.0 ms;C1E;  4.9%
   0.5 ms;  0.0%;   0.0 ms;C6; 82.3%
   3.8 ms;100.2%;  77.9 ms;CPU
6;CPU;24;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1;  0.1%
   0.1 ms;  0.0%;   0.0 ms;C1E;  1.1%
   0.2 ms;  0.0%;   0.0 ms;C6; 94.7%
   2.7 ms;100.0%;  22.0 ms;CPU
7;CPU;25;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1;  0.1%
   0.1 ms;  0.0%;   0.0 ms;C1E;  3.2%
   0.2 ms;  4.7%;   0.3 ms;C6; 92.1%
   1.7 ms; 94.6%;   7.3 ms;CPU
8;CPU;26;POLL;  0.0%
   0.0 ms;  0.0%;   0.0 ms;C1; 14.6%
   0.1 ms;  0.0%;   0.0 ms;C1E;  7.6%
   0.5 ms;  0.2%;   0.2 ms;C6; 52.1%
   1.4 ms; 99.7%;  28.8 ms;
CPU;9
CPU;27;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1;  5.2%;   0.1 ms
  0.0%;   0.0 ms;C1E;  7.8%;   0.4 ms
  2.9%;   1.0 ms;C6; 71.1%;   2.1 ms
 97.2%;  30.7 ms;CPU;10
CPU;28;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1;  1.6%;   0.1 ms
  0.2%;   0.2 ms;C1E;  2.1%;   0.3 ms
  0.0%;   0.0 ms;C6; 86.2%;   2.7 ms
 99.5%;  10.8 ms;CPU;11
CPU;29;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1;  0.5%;   0.7 ms
  0.0%;   0.0 ms;C1E;  0.7%;   0.3 ms
  0.1%;   0.1 ms;C6; 96.3%;   3.6 ms
 99.2%;   4.9 ms;CPU;12
CPU;30;POLL;  0.0%;   0.0 ms
  0.0%;   0.0 ms;C1;  0.6%;   0.0 ms
  0.0%;   0.0 ms;C1E;  1.7%;   0.2 ms
  0.0%;   0.0 ms;C6; 94.8%;   2.1 ms
100.2%;  23.0 ms;CPU;13
CPU;31;POLL;  0.4%;   0.0 ms
  0.0%;   0.0 ms;C1; 19.5%;   0.1 ms
  0.3%;   1.6 ms;C1E;  4.2%;   0.4 ms
  0.1%;   0.3 ms;C6; 28.7%;   0.5 ms
 97.2%;  36.5 ms;
CPU;14;CPU;32
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1; 20.7%;   0.1 ms;  0.1%;   0.2 ms
C1E; 12.6%;   1.2 ms;  0.9%;   0.5 ms
C6; 45.6%;   2.5 ms; 98.9%;  20.5 ms
CPU;15;CPU;33
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  5.0%;   0.1 ms;  0.0%;   0.1 ms
C1E;  1.5%;   0.4 ms;  0.4%;   0.6 ms
C6; 86.1%;   4.2 ms; 99.5%;  12.8 ms
CPU;16;CPU;34
POLL;  0.0%;   0.0 ms;  0.0%;   0.0 ms
C1;  3.7%;   0.1 ms;  0.0%;   0.0 ms
C1E;  4.1%;   0.2 ms;  0.1%;   0.2 ms
C6; 85.7%;   2.3 ms; 99.5%;  10.8 ms
CPU;17;CPU;35
POLL;  0.2%;   0.0 ms;  0.0%;   0.0 ms
C1; 17.8%;   0.1 ms;  0.0%;   0.0 ms
C1E;  3.5%;   0.3 ms; 22.8%;   0.4 ms
C6; 33.7%;   0.5 ms; 75.6%;   6.2 ms
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
Idle; 100.0% 
;
;
;
