secs_elapsed,interval_qps
1,166510
2,185613
3,184172
4,183667
5,189874
6,119337
7,183669
8,153080
9,160435
10,181000
11,158923
12,120807
13,155469
14,183807
15,157132
16,173835
17,117286
18,181348
19,112040
20,181751
21,179878
22,171441
23,175323
24,150236
25,171139
26,135430
27,131380
28,167793
29,118765
30,179259
31,182587
32,180416
33,182298
34,183977
35,182599
36,180199
37,180893
38,184141
39,181567
40,155499
41,145382
42,112969
43,174015
44,23374
45,127070
46,139823
47,126959
48,109161
49,115489
50,108432
51,116111
52,106078
53,87300
54,179084
55,181513
56,181865
57,183249
58,175149
59,178177
60,177304
61,180626
62,66028
63,162962
64,105632
65,85241
66,7894
67,7880
68,7657
69,5573
70,5053
71,117412
72,182706
73,122913
74,172251
75,180146
76,89594
77,178615
78,135196
79,162509
80,178339
81,145094
82,141394
83,106954
84,163307
85,131339
86,180325
87,166871
88,137496
89,156911
90,75356
91,142361
92,86159
93,126820
94,5247
95,106287
96,52659
97,7069
98,7069
99,133465
100,181166
101,136476
102,126878
103,147903
104,83028
105,89910
106,163576
107,102572
108,145785
109,103413
110,145522
111,132204
112,160569
113,141250
114,39235
115,44240
116,170229
117,85548
118,95361
119,124174
120,77453
121,108810
122,34840
123,181413
124,115310
125,139159
126,170758
127,28278
128,162105
129,18121
130,7879
132,92874
133,103251
134,159234
135,24468
136,163855
137,7887
138,178971
139,10145
140,7887
141,41123
142,128513
143,133497
144,139316
145,0
146,173718
147,134065
148,126824
149,148038
150,132601
151,69878
152,7883
153,127552
154,134925
155,145492
156,43740
157,6311
158,129846
159,68671
160,131234
161,135067
162,16802
163,160470
164,34255
165,20490
166,156779
167,59931
168,7879
169,7390
170,7681
171,109719
172,113894
173,7888
174,6790
175,6301
176,8978
177,170523
178,181847
179,94364
180,128490
181,122497
182,68391
183,7890
184,97805
185,173994
186,156096
187,107728
188,160787
189,96722
190,27709
191,108215
192,145763
193,144244
194,177825
195,68488
196,87091
197,7883
198,21507
199,176225
200,121093
201,174332
202,154178
203,139437
204,7362
205,7888
206,16780
207,178257
208,125809
209,162519
210,127937
211,144154
212,3505
213,17094
214,165668
215,96504
216,117559
217,93707
218,74755
219,95902
220,7883
221,7894
222,38569
223,124396
224,7885
225,58700
226,154247
227,91930
228,178270
229,178779
230,76251
231,7888
232,7885
233,7883
234,6434
235,7891
236,7888
237,11036
238,174820
239,149300
240,182440
241,114659
242,133432
243,7884
244,7888
245,6948
246,13374
247,180494
248,111132
249,180290
250,123269
251,134125
252,148455
253,151835
254,7306
255,6301
256,5045
257,128867
258,173050
259,106187
260,7065
261,7073
262,6643
263,164762
264,9089
265,113636
266,179337
267,65659
268,7888
269,7891
270,7854
271,6717
272,148517
273,155075
274,69993
275,43414
276,134950
277,97981
278,9551
279,169661
280,148005
281,178444
282,141408
284,124171
285,113105
286,7889
287,6883
288,7847
289,7885
290,7887
291,7883
292,7894
293,7888
294,7880
295,8480
296,170942
297,156931
298,178263
299,127964
300,117211
301,83468
302,133528
303,180055
304,66469
305,82879
306,5705
307,5047
308,5276
309,6314
310,6307
311,7166
312,7889
313,7881
314,8790
315,6211
316,5051
317,5737
318,6312
319,15307
320,178827
321,142303
322,66243
323,135378
324,47096
325,79219
326,122033
327,4909
328,112020
329,54398
330,7884
331,7728
332,100040
333,88691
334,6281
335,7064
336,113166
337,180381
338,3430
339,58691
340,124939
341,7328
342,9119
343,171758
344,177703
345,155907
346,160766
347,164723
348,126567
349,7891
350,7887
351,6845
352,6791
353,7893
354,7887
355,7884
356,7888
357,7892
358,7882
359,7213
360,62429
361,177581
362,169086
363,181827
364,89326
365,118999
366,129338
367,118283
368,130069
369,134990
370,96245
371,125149
372,177990
373,86501
374,124172
375,87247
376,178965
377,23986
378,7894
379,7881
380,6977
381,5048
382,5211
383,6312
384,6688
385,7889
386,7889
387,9043
388,7887
389,6621
390,6240
391,6593
392,7888
393,7888
394,7890
395,7889
396,7882
397,7676
398,5426
399,5049
400,5749
401,7887
402,7881
403,7889
404,8497
405,147316
406,102682
407,82991
408,150679
409,150049
410,7031
411,72863
412,168446
413,15201
414,177730
415,136367
416,177000
417,179246
418,158281
419,7887
420,7889
421,7887
422,6614
423,6308
424,7561
425,7884
426,7889
427,7884
428,7892
429,7883
430,7111
431,6698
432,7883
433,7896
434,7884
435,103990
436,80498
437,182456
438,136891
439,110708
440,159006
441,104837
442,143516
443,81232
444,148587
445,180852
446,93774
447,152468
448,122180
449,7889
450,7893
451,7885
452,6875
453,5052
454,5045
455,5648
456,6310
457,6335
458,7888
459,7889
460,7883
461,7823
462,5531
463,6434
464,7890
465,7888
466,7887
467,7888
468,7889
469,7886
470,6228
471,5151
472,6700
473,71780
474,159322
475,180480
476,145890
477,111104
478,6719
479,7884
480,7885
481,7895
482,7887
483,7887
484,7887
485,7853
486,7320
487,7878
488,7889
489,7893
490,7887
491,7888
492,7885
493,7600
494,5393
495,7875
496,7891
497,7886
498,7888
499,7889
500,7885
501,7888
502,7060
503,117469
504,137483
505,174014
506,141703
507,179023
508,115639
509,179627
510,96060
511,7884
512,7889
513,7891
514,7885
515,6009
516,89741
517,111103
518,177775
519,173723
520,183094
521,181038
522,178715
523,55571
524,7886
525,7887
526,163280
527,91317
528,179057
530,8449
531,176095
532,183402
533,60763
534,178675
535,180972
536,8792
537,7890
538,7889
