secs_elapsed,interval_qps
1,198058
2,209902
3,209898
4,194431
5,208579
6,206189
7,187724
8,207324
9,201920
10,203847
11,184412
12,206204
13,198429
14,203847
15,159436
16,180319
17,194421
18,206119
19,188666
20,175756
21,172293
22,184545
23,209798
24,195343
25,201137
26,197559
27,183624
28,206736
29,179497
30,119165
31,181924
32,189479
33,205432
34,194364
35,185421
36,187526
37,173640
38,200519
39,159600
40,171581
41,169690
42,91391
43,185624
44,87953
45,161690
46,122886
47,111634
48,149285
49,197405
50,162154
51,181128
52,201954
53,179194
54,199395
55,191709
56,164994
57,162464
58,191017
59,200964
60,174437
61,90902
62,152477
63,82818
64,49124
65,121375
66,83602
67,122719
68,80341
69,163375
70,207365
71,169479
72,206500
73,181463
74,168669
75,207635
76,204863
77,179160
78,178531
79,184739
80,206031
81,178400
82,130708
83,53739
84,7894
85,7885
86,7887
87,64984
88,62089
89,113385
90,72879
91,125457
92,186853
93,189644
94,182511
95,127154
96,170937
97,27196
98,176651
99,187620
100,208072
101,180417
102,183885
103,201541
104,205769
105,184101
106,201436
107,202285
108,207400
109,177128
110,170544
111,126120
112,82020
113,24245
114,120437
115,83108
116,103164
117,57197
118,144655
119,165404
120,173216
121,184425
122,169154
123,121177
124,177784
125,116414
126,119306
127,184401
128,187418
129,124177
130,155613
131,205379
132,184667
133,179497
134,136602
135,176138
136,113290
137,169180
138,35531
139,7887
140,6039
141,107679
142,209972
143,144200
144,132714
145,168073
146,12556
147,7889
148,189191
149,188780
150,111039
151,152010
152,0
153,160201
154,150239
155,138196
156,48067
157,114765
158,134872
159,171290
160,148497
161,163515
162,74203
163,184669
164,192533
165,193820
166,168799
167,129408
168,140862
169,186461
170,189767
171,166809
172,170382
173,101189
174,135023
175,7886
176,7889
177,7885
178,6727
179,96943
180,206762
181,207131
182,207940
183,197334
184,136071
185,95400
186,93024
187,122004
188,92727
189,187009
190,92800
191,120751
192,6772
193,179115
194,180751
195,172394
196,189698
197,170948
198,135722
199,79610
200,171258
201,7894
202,7885
203,7341
204,88783
205,207008
206,170355
207,204193
208,163920
209,94927
210,62084
211,124635
212,61623
213,62089
214,73335
215,175014
216,156140
217,135831
218,142181
219,149877
220,170083
221,121934
222,73236
223,133327
224,159123
225,101742
226,174292
227,192333
228,142894
229,200020
230,182109
231,158669
232,186742
233,126560
234,145125
235,43758
236,115660
237,206437
238,198435
239,207782
240,184330
241,165594
242,165893
243,53118
244,126897
245,7886
246,85410
247,56866
248,62088
249,135172
250,51086
251,96379
252,131656
253,46242
254,135693
255,30638
256,137769
257,155772
258,87126
259,146395
260,87827
261,74361
262,112373
263,120602
264,185738
265,172332
266,175064
267,156100
268,179025
269,160247
270,146088
271,42945
272,7888
273,7888
274,7893
275,98993
276,172296
277,185417
278,206446
279,196969
280,74807
281,132533
282,177904
283,110794
284,86843
285,173414
286,175879
287,136028
288,145515
289,125480
290,167130
291,182158
292,72554
293,176372
294,101054
295,181278
296,176556
297,92937
298,18646
299,192080
300,183126
301,171891
302,97712
303,131964
304,55138
305,7890
306,132247
307,191663
308,104384
309,121996
310,150395
311,109496
312,169967
313,56039
314,119657
315,155087
316,166572
317,118602
318,129009
319,143581
320,150058
321,168702
322,7044
323,113631
324,137773
325,26464
326,164849
327,90975
328,177207
329,42351
330,174352
331,6154
332,96665
333,7885
334,115674
335,128241
336,116256
337,7892
338,50393
339,7891
340,42195
341,79821
342,75944
343,7887
344,124569
345,98271
346,68339
347,157646
348,164598
349,59934
350,76633
351,98691
352,84791
353,143205
354,105150
355,100882
356,183550
357,65503
358,146768
359,20572
360,152332
361,174093
362,108841
363,99049
364,155897
365,175679
366,164143
367,109825
368,59299
369,141123
370,169710
371,55796
372,78177
373,75733
