 484061 zhining   20   0 4832932  57128  22340 D  58.8   0.1   0:00.12 db_bench
 484061 zhining   20   0   12.4g 316388  23592 S 100.0   0.5   0:00.77 db_bench
 484061 zhining   20   0   12.5g 379016  24224 S 123.5   0.6   0:02.42 db_bench
 484061 zhining   20   0   12.5g 383240  24224 S 152.9   0.6   0:04.83 db_bench
 484061 zhining   20   0   12.5g 387988  24224 S 200.0   0.6   0:07.23 db_bench
 484061 zhining   20   0   12.5g 400396  24224 S 164.7   0.6   0:10.08 db_bench
 484061 zhining   20   0   12.5g 418876  24224 S 217.6   0.6   0:12.79 db_bench
 484061 zhining   20   0   12.5g 418876  24224 S 288.2   0.6   0:16.10 db_bench
 484061 zhining   20   0   12.5g 418612  24224 S 264.7   0.6   0:18.80 db_bench
 484061 zhining   20   0   12.5g 445264  24224 S 194.4   0.7   0:22.97 db_bench
 484061 zhining   20   0   12.5g 447112  24224 S 323.5   0.7   0:26.03 db_bench
 484061 zhining   20   0   12.5g 447376  24224 S 275.0   0.7   0:29.72 db_bench
 484061 zhining   20   0   12.5g 447376  24224 S 288.2   0.7   0:32.54 db_bench
 484061 zhining   20   0   12.5g 447376  24224 S 182.4   0.7   0:35.68 db_bench
 484061 zhining   20   0   12.6g 453184  24224 S 411.1   0.7   0:41.23 db_bench
 484061 zhining   20   0   12.6g 453184  24224 S 258.8   0.7   0:44.11 db_bench
 484061 zhining   20   0   12.6g 453184  24224 S 135.3   0.7   0:47.20 db_bench
 484061 zhining   20   0   12.6g 454240  24224 S 322.2   0.7   0:49.76 db_bench
 484061 zhining   20   0   13.5g   1.4g   1.0g S 464.7   2.2   0:53.18 db_bench
 484061 zhining   20   0   13.5g   2.0g   1.6g S 152.9   3.3   0:55.73 db_bench
 484061 zhining   20   0   13.5g   2.0g   1.6g S 182.4   3.3   0:58.55 db_bench
 484061 zhining   20   0   13.5g   2.0g   1.6g S 205.9   3.3   1:01.54 db_bench
 484061 zhining   20   0   13.5g   2.0g   1.6g S 211.1   3.3   1:04.74 db_bench
 484061 zhining   20   0   13.4g   1.9g   1.5g S 441.2   3.0   1:09.53 db_bench
 484061 zhining   20   0   13.4g   1.9g   1.5g S 311.8   3.1   1:12.62 db_bench
 484061 zhining   20   0   13.4g   1.9g   1.5g S 194.1   3.1   1:15.76 db_bench
 484061 zhining   20   0   13.4g   1.9g   1.5g S 300.0   3.1   1:19.13 db_bench
 484061 zhining   20   0   13.4g   1.9g   1.5g S 244.4   3.1   1:22.67 db_bench
 484061 zhining   20   0   13.4g   1.9g   1.5g S 311.1   3.1   1:26.80 db_bench
 484061 zhining   20   0   13.4g   1.9g   1.5g S 217.6   3.1   1:30.24 db_bench
 484061 zhining   20   0   13.4g   1.9g   1.5g S 306.2   3.1   1:33.49 db_bench
 484061 zhining   20   0   13.4g   1.9g   1.5g S 264.7   3.1   1:36.62 db_bench
 484061 zhining   20   0   13.4g   2.0g   1.5g S 329.4   3.2   1:40.75 db_bench
 484061 zhining   20   0   13.4g   2.0g   1.5g S 123.5   3.2   1:42.75 db_bench
 484061 zhining   20   0   13.4g   2.1g   1.6g S 182.4   3.3   1:46.26 db_bench
 484061 zhining   20   0   13.4g   2.1g   1.6g S 311.8   3.3   1:49.92 db_bench
 484061 zhining   20   0   13.4g   2.1g   1.6g S 305.9   3.3   1:53.50 db_bench
 484061 zhining   20   0   13.4g   2.1g   1.6g S 472.2   3.3   1:58.23 db_bench
 484061 zhining   20   0   13.4g   2.1g   1.6g S 323.5   3.3   2:00.90 db_bench
 484061 zhining   20   0   13.4g   2.1g   1.6g S 305.9   3.3   2:04.58 db_bench
 484061 zhining   20   0   13.4g   2.1g   1.6g S 235.3   3.3   2:08.16 db_bench
 484061 zhining   20   0   13.4g   2.1g   1.6g S 447.1   3.3   2:12.77 db_bench
 484061 zhining   20   0   13.4g   2.1g   1.6g S 205.6   3.3   2:16.10 db_bench
 484061 zhining   20   0   13.4g   2.1g   1.6g S  94.1   3.3   2:19.48 db_bench
 484061 zhining   20   0   13.4g   2.1g   1.6g S 294.1   3.3   2:22.65 db_bench
 484061 zhining   20   0   13.4g   2.0g   1.6g S 364.7   3.3   2:27.15 db_bench
 484061 zhining   20   0   13.4g   2.0g   1.6g S 217.6   3.3   2:29.70 db_bench
 484061 zhining   20   0   13.4g   2.1g   1.6g S 270.6   3.4   2:33.14 db_bench
 484061 zhining   20   0   13.4g   2.1g   1.6g S 344.4   3.4   2:36.42 db_bench
 484061 zhining   20   0   13.4g   2.1g   1.6g S 305.9   3.4   2:39.81 db_bench
 484061 zhining   20   0   13.4g   2.1g   1.6g S 241.2   3.4   2:43.17 db_bench
 484061 zhining   20   0   13.4g   2.1g   1.6g S 229.4   3.4   2:46.17 db_bench
 484061 zhining   20   0   13.4g   2.1g   1.6g S 241.2   3.4   2:49.38 db_bench
 484061 zhining   20   0   13.4g   2.1g   1.6g S 323.5   3.4   2:52.42 db_bench
 484061 zhining   20   0   13.4g   2.1g   1.6g S 294.1   3.4   2:55.48 db_bench
 484061 zhining   20   0   13.4g   2.1g   1.6g S 229.4   3.4   2:58.03 db_bench
 484061 zhining   20   0   13.4g   2.1g   1.6g S  93.8   3.4   3:00.87 db_bench
 484061 zhining   20   0   13.4g   2.1g   1.6g S 293.8   3.4   3:03.57 db_bench
 484061 zhining   20   0   13.8g   2.4g   1.9g S 793.8   3.8   3:09.09 db_bench
 484061 zhining   20   0   13.9g   2.7g   2.2g S 111.8   4.3   3:14.48 db_bench
 484061 zhining   20   0   13.8g   2.7g   2.2g S 576.5   4.4   3:18.53 db_bench
 484061 zhining   20   0   14.0g   3.0g   2.5g S 129.4   4.8   3:22.81 db_bench
 484061 zhining   20   0   14.0g   3.0g   2.5g S 300.0   4.8   3:25.32 db_bench
 484061 zhining   20   0   14.0g   3.0g   2.5g S 588.2   4.8   3:29.52 db_bench
 484061 zhining   20   0   14.0g   3.0g   2.5g S 494.1   4.8   3:34.46 db_bench
 484061 zhining   20   0   14.0g   3.0g   2.5g S 582.4   4.8   3:39.67 db_bench
 484061 zhining   20   0   14.0g   3.0g   2.5g S 422.2   4.8   3:46.43 db_bench
 484061 zhining   20   0   13.7g   2.7g   2.2g S 194.1   4.3   3:51.39 db_bench
 484061 zhining   20   0   13.7g   2.7g   2.2g S 272.2   4.3   3:55.09 db_bench
 484061 zhining   20   0   13.7g   2.7g   2.2g S 394.1   4.4   3:58.84 db_bench
