secs_elapsed,interval_qps
1,145670
2,161373
3,108609
4,130171
5,93267
6,124395
7,149360
8,122651
9,144555
10,135895
11,133113
12,131044
13,134431
14,112192
15,147705
16,140350
17,89307
18,120821
19,87825
20,96964
21,129569
22,136492
23,119125
24,140064
25,114432
26,77142
27,86928
28,80671
29,34861
30,4014
31,3757
32,2776
33,39691
34,144618
35,78726
36,51243
37,150695
38,57531
39,56274
40,134689
41,159446
42,93847
43,128642
44,77798
45,127248
46,95464
47,89852
48,87229
49,16521
50,85889
51,4019
52,3769
53,113631
54,136637
55,123132
56,99102
57,66925
58,46901
59,78979
60,97180
61,31812
62,63624
63,58788
64,114716
65,136900
66,119874
67,81242
68,142334
69,137823
70,124480
71,119667
72,127789
73,85148
74,55527
75,64975
76,62273
77,28504
78,3877
79,2649
80,116859
81,122830
82,111962
83,109313
84,75580
85,96478
86,41165
87,42176
88,75718
89,127248
90,31812
91,64403
92,99020
93,64130
94,82763
95,4021
96,20936
97,105209
98,75865
99,85229
100,71066
101,24926
102,3450
103,83908
104,71252
105,45530
106,81653
107,3727
108,51425
109,39174
110,3601
111,2653
112,93755
113,70797
114,25164
115,94256
116,63624
117,31458
118,63977
119,54232
120,73016
121,63624
122,31812
123,63624
124,61305
125,34131
126,32823
127,65557
128,131881
129,126905
130,118491
131,128771
132,90759
133,68301
134,25331
135,4015
136,3709
137,2689
138,61621
139,157131
140,101754
141,118104
142,86813
143,69097
144,67058
145,3587
146,62579
147,63624
148,31812
149,95436
150,31812
151,108432
152,50628
153,66023
154,90545
155,34304
156,51536
157,33967
158,3309
159,127747
160,66692
161,3907
162,3394
163,3783
164,112701
165,64538
166,111075
167,106639
168,41136
169,3184
170,2572
171,73086
172,82662
173,2881
174,45554
175,77617
176,90288
177,101528
178,94918
179,50304
180,42272
181,3708
182,59639
183,69177
184,130170
185,26046
186,63624
187,44961
188,38709
189,54571
190,139692
191,40186
192,3005
193,48229
194,107826
195,31812
196,59234
197,12562
198,78949
199,62000
200,4019
201,130703
202,27947
203,4021
204,3530
205,33316
206,135124
207,18466
208,3600
209,3157
210,2957
211,108537
212,126235
213,93874
214,71000
215,102471
216,3419
217,31898
218,77387
219,70476
220,107804
221,128171
222,57929
223,79345
224,68140
225,69568
226,4018
227,3438
228,61798
229,63624
230,47747
231,79500
232,109667
233,115189
234,25906
235,3962
236,2777
237,3322
238,133048
239,34172
240,49136
241,33756
242,3218
243,3215
244,3614
245,83445
246,2980
247,4017
248,4016
249,4022
250,4018
251,4019
252,4020
253,4018
254,2991
255,57637
256,3605
257,2787
258,91870
259,2455
260,90661
261,5404
262,2315
263,2313
264,2314
265,2312
266,2875
267,2895
268,46388
269,95436
270,63623
271,23595
272,71841
273,78623
274,40816
275,41227
276,4108
277,4016
278,39064
279,19724
280,90542
281,26353
282,69082
283,95435
284,56934
285,72686
286,117615
287,68598
288,43117
289,99521
290,50520
291,64058
292,3336
293,31270
294,124019
295,52854
296,33823
297,72383
298,31812
299,75050
300,84963
301,3719
302,3768
303,118807
304,31812
305,3053
306,4018
307,54704
308,92224
310,6872
311,3219
312,22115
313,69059
314,86672
315,4014
316,4017
317,92868
318,66769
319,126636
320,126674
321,96373
322,3913
323,3693
324,90376
325,92526
326,63624
327,109168
328,113809
329,4007
330,3707
331,4017
332,55059
333,99963
334,119262
335,111971
336,78901
337,95436
338,95436
339,91166
340,40217
341,77545
342,138114
343,5808
344,3696
345,4019
346,131134
347,81241
348,3997
349,4024
350,29948
351,80484
352,103906
353,83390
354,43857
355,132267
356,27873
357,78160
358,120581
359,120167
360,122420
361,96309
362,91645
363,82962
364,118463
365,20016
366,4018
367,3922
368,3749
369,4019
370,4022
371,4017
372,30375
373,117575
374,27418
375,47069
376,80012
377,21581
378,78752
379,27298
380,3217
381,3211
382,3220
383,3211
384,3219
385,3721
386,74882
387,3259
388,3218
389,3521
390,4022
391,4017
392,4017
393,4018
394,3659
395,3069
396,2574
397,2968
398,3933
399,4019
400,4019
401,4018
402,4022
403,4021
404,3918
405,4018
406,4007
407,4036
408,4019
409,4019
410,4019
411,4021
412,3940
413,4022
414,4016
415,4022
416,4021
417,4018
418,4015
419,4022
420,3673
421,4016
422,4020
423,3942
424,4100
425,4016
426,4019
427,4021
428,2890
429,3760
430,4022
431,3146
432,4890
433,52637
434,25155
435,3958
436,4021
437,4020
438,73706
439,42026
440,48220
441,16395
442,3995
443,4022
444,84311
445,4452
446,55436
447,36274
448,2681
449,4019
450,4021
451,82128
452,24704
453,4017
454,60112
455,4023
456,69687
457,3948
458,4017
459,75788
460,13975
461,3889
462,4021
463,4017
464,48509
465,33351
466,3686
467,4020
468,55659
469,4014
470,4016
471,54314
472,3326
473,4011
474,57541
475,3786
476,4433
477,47670
478,35713
479,3615
480,4065
481,51577
482,4017
483,28734
484,38761
485,3913
486,4017
487,52221
488,4676
489,62022
490,3131
491,3580
492,77079
493,4021
494,31715
495,67055
496,3968
497,36629
498,50107
499,41927
500,3756
501,44177
502,30999
503,17983
504,4023
505,51200
506,4017
507,11416
508,54054
509,3899
510,52145
511,38938
512,3317
513,2310
514,52753
515,4025
516,3077
