4091120 zhining   20   0 4800564  57572  22612 D  55.6   0.1   0:00.12 db_bench
4091120 zhining   20   0   12.4g 306176  24004 S 105.9   0.5   0:00.83 db_bench
4091120 zhining   20   0   12.4g 371212  24388 S 176.5   0.6   0:02.37 db_bench
4091120 zhining   20   0   12.4g 372448  24580 S 194.1   0.6   0:03.94 db_bench
4091120 zhining   20   0   12.4g 375616  24580 S 158.8   0.6   0:06.20 db_bench
4091120 zhining   20   0   12.4g 376672  24580 S 182.4   0.6   0:07.74 db_bench
4091120 zhining   20   0   12.5g 380632  24580 S 229.4   0.6   0:10.23 db_bench
4091120 zhining   20   0   12.5g 384852  24580 S 170.6   0.6   0:12.44 db_bench
4091120 zhining   20   0   12.5g 384852  24580 S 241.2   0.6   0:14.97 db_bench
4091120 zhining   20   0   12.5g 386964  24580 S 270.6   0.6   0:17.51 db_bench
4091120 zhining   20   0   12.5g 386964  24580 S 247.1   0.6   0:20.00 db_bench
4091120 zhining   20   0   12.5g 388284  24580 S 335.3   0.6   0:22.66 db_bench
4091120 zhining   20   0   12.5g 395148  24580 S 211.8   0.6   0:25.78 db_bench
4091120 zhining   20   0   12.5g 395068  24580 S 258.8   0.6   0:28.27 db_bench
4091120 zhining   20   0   12.5g 399028  24580 S 176.5   0.6   0:32.13 db_bench
4091120 zhining   20   0   12.5g 399028  24580 S 235.3   0.6   0:34.75 db_bench
4091120 zhining   20   0   12.5g 400876  24580 S 323.5   0.6   0:37.72 db_bench
4091120 zhining   20   0   12.5g 406948  24580 S 235.3   0.6   0:40.44 db_bench
4091120 zhining   20   0   12.5g 406948  24580 S 235.3   0.6   0:42.89 db_bench
4091120 zhining   20   0   13.2g   1.4g   1.0g S 141.2   2.2   0:45.19 db_bench
4091120 zhining   20   0   13.2g   1.6g   1.2g S 188.2   2.5   0:47.83 db_bench
4091120 zhining   20   0   13.2g   1.6g   1.2g S 170.6   2.6   0:50.19 db_bench
4091120 zhining   20   0   13.2g   1.6g   1.2g S 158.8   2.6   0:52.66 db_bench
4091120 zhining   20   0   13.3g   1.6g   1.3g S 312.5   2.6   0:56.76 db_bench
4091120 zhining   20   0   13.3g   1.8g   1.5g S 200.0   2.9   0:59.21 db_bench
4091120 zhining   20   0   13.3g   1.8g   1.5g S 182.4   2.9   1:01.80 db_bench
4091120 zhining   20   0   13.3g   1.8g   1.5g S 276.5   2.9   1:04.38 db_bench
4091120 zhining   20   0   13.4g   2.0g   1.6g S 294.1   3.2   1:08.22 db_bench
4091120 zhining   20   0   13.5g   2.2g   1.8g S 241.2   3.5   1:11.12 db_bench
4091120 zhining   20   0   13.5g   2.2g   1.8g S 294.1   3.6   1:13.90 db_bench
4091120 zhining   20   0   13.5g   2.2g   1.8g S 276.5   3.6   1:16.24 db_bench
4091120 zhining   20   0   13.5g   2.2g   1.8g S 235.3   3.6   1:18.77 db_bench
4091120 zhining   20   0   13.5g   2.2g   1.8g S 288.2   3.6   1:21.74 db_bench
4091120 zhining   20   0   13.5g   2.2g   1.8g S 256.2   3.6   1:24.28 db_bench
4091120 zhining   20   0   13.5g   2.3g   1.9g S 350.0   3.7   1:28.76 db_bench
4091120 zhining   20   0   13.7g   2.5g   2.1g S 418.8   4.1   1:32.68 db_bench
4091120 zhining   20   0   13.7g   2.6g   2.2g S 322.2   4.2   1:36.24 db_bench
4091120 zhining   20   0   13.7g   2.6g   2.2g S 211.8   4.2   1:39.63 db_bench
4091120 zhining   20   0   13.7g   2.6g   2.2g S 200.0   4.2   1:42.36 db_bench
4091120 zhining   20   0   13.7g   2.6g   2.2g S 200.0   4.2   1:45.66 db_bench
4091120 zhining   20   0   13.7g   2.6g   2.2g S 211.8   4.2   1:48.54 db_bench
4091120 zhining   20   0   13.7g   2.6g   2.2g S 331.2   4.2   1:51.60 db_bench
4091120 zhining   20   0   13.7g   2.6g   2.2g S 200.0   4.2   1:54.94 db_bench
4091120 zhining   20   0   13.7g   2.6g   2.2g S 305.9   4.2   1:58.08 db_bench
4091120 zhining   20   0   13.2g   2.0g   1.6g S 182.4   3.3   2:01.82 db_bench
4091120 zhining   20   0   13.2g   2.2g   1.8g S 288.2   3.5   2:05.63 db_bench
4091120 zhining   20   0   13.4g   2.4g   2.0g S 200.0   3.9   2:09.59 db_bench
4091120 zhining   20   0   13.5g   2.5g   2.0g S 341.2   3.9   2:12.78 db_bench
4091120 zhining   20   0   13.5g   2.5g   2.0g S 158.8   3.9   2:16.51 db_bench
4091120 zhining   20   0   13.5g   2.5g   2.0g S 176.5   3.9   2:19.29 db_bench
4091120 zhining   20   0   13.5g   2.5g   2.0g S 152.9   3.9   2:22.46 db_bench
4091120 zhining   20   0   13.5g   2.5g   2.0g S 164.7   3.9   2:25.31 db_bench
4091120 zhining   20   0   13.5g   2.5g   2.0g S 335.3   3.9   2:28.48 db_bench
4091120 zhining   20   0   13.5g   2.5g   2.0g S 235.3   3.9   2:31.89 db_bench
4091120 zhining   20   0   13.5g   2.5g   2.0g S 347.1   3.9   2:34.91 db_bench
4091120 zhining   20   0   13.5g   2.5g   2.0g S 143.8   3.9   2:38.15 db_bench
4091120 zhining   20   0   13.5g   2.5g   2.0g S 300.0   3.9   2:40.87 db_bench
4091120 zhining   20   0   13.8g   2.8g   2.4g S 381.2   4.5   2:45.28 db_bench
4091120 zhining   20   0   13.8g   2.8g   2.4g S 170.6   4.5   2:47.87 db_bench
4091120 zhining   20   0   13.8g   3.0g   2.5g S 147.1   4.8   2:50.93 db_bench
4091120 zhining   20   0   13.8g   3.1g   2.7g S 305.9   5.0   2:54.11 db_bench
4091120 zhining   20   0   13.5g   2.5g   2.1g S 523.5   4.0   2:57.69 db_bench
4091120 zhining   20   0   13.5g   2.8g   2.3g S 347.1   4.4   3:01.29 db_bench
4091120 zhining   20   0   13.5g   2.8g   2.3g S 452.9   4.4   3:05.26 db_bench
4091120 zhining   20   0   13.5g   2.8g   2.3g S 143.8   4.5   3:09.01 db_bench
4091120 zhining   20   0   13.5g   2.8g   2.3g S 129.4   4.5   3:10.78 db_bench
4091120 zhining   20   0   13.5g   2.8g   2.3g S 223.5   4.5   3:13.46 db_bench
4091120 zhining   20   0   13.5g   2.8g   2.3g S 264.7   4.5   3:16.03 db_bench
4091120 zhining   20   0   13.5g   2.8g   2.3g S 241.2   4.5   3:18.99 db_bench
4091120 zhining   20   0   13.5g   2.8g   2.3g S 258.8   4.5   3:21.53 db_bench
4091120 zhining   20   0   13.5g   2.8g   2.3g S 305.9   4.5   3:24.52 db_bench
4091120 zhining   20   0   13.5g   2.8g   2.3g S 468.8   4.5   3:28.14 db_bench
4091120 zhining   20   0   13.5g   2.8g   2.3g S 411.8   4.5   3:32.27 db_bench
4091120 zhining   20   0   13.5g   2.8g   2.3g S 144.4   4.5   3:34.10 db_bench
4091120 zhining   20   0   13.5g   2.8g   2.3g S 194.1   4.5   3:36.30 db_bench
4091120 zhining   20   0   13.5g   2.8g   2.3g S 158.8   4.5   3:39.16 db_bench
4091120 zhining   20   0   13.5g   2.8g   2.3g S 205.9   4.5   3:42.72 db_bench
4091120 zhining   20   0   13.5g   2.8g   2.3g S 182.4   4.5   3:45.36 db_bench
4091120 zhining   20   0   13.5g   2.8g   2.3g S 229.4   4.5   3:48.86 db_bench
4091120 zhining   20   0   13.5g   2.8g   2.3g S 241.2   4.5   3:51.82 db_bench
4091120 zhining   20   0   13.5g   2.8g   2.3g S 317.6   4.5   3:55.35 db_bench
4091120 zhining   20   0   13.5g   2.8g   2.3g S 300.0   4.5   3:59.18 db_bench
4091120 zhining   20   0   13.5g   2.8g   2.3g S 300.0   4.5   4:03.18 db_bench
4091120 zhining   20   0   13.5g   2.8g   2.3g S 117.6   4.5   4:06.01 db_bench
4091120 zhining   20   0   13.5g   2.8g   2.3g S 182.4   4.5   4:08.66 db_bench
4091120 zhining   20   0   13.7g   3.0g   2.5g S 141.2   4.8   4:12.64 db_bench
4091120 zhining   20   0   13.9g   3.2g   2.7g S  23.5   5.1   4:14.29 db_bench
4091120 zhining   20   0   13.9g   3.2g   2.7g S 441.2   5.2   4:16.99 db_bench
4091120 zhining   20   0   13.9g   3.2g   2.7g S 364.7   5.2   4:22.08 db_bench
4091120 zhining   20   0   13.9g   3.2g   2.7g S 400.0   5.2   4:26.36 db_bench
4091120 zhining   20   0   13.6g   2.9g   2.4g S 412.5   4.7   4:30.65 db_bench
4091120 zhining   20   0   13.7g   3.0g   2.6g S 535.3   4.9   4:36.45 db_bench
4091120 zhining   20   0   13.9g   3.2g   2.8g S 417.6   5.2   4:41.32 db_bench
4091120 zhining   20   0   14.1g   3.4g   2.9g S 305.9   5.4   4:43.81 db_bench
4091120 zhining   20   0   14.1g   3.4g   2.9g S 135.3   5.4   4:44.90 db_bench
4091120 zhining   20   0   14.1g   3.4g   2.9g S 123.5   5.4   4:47.05 db_bench
4091120 zhining   20   0   14.1g   3.4g   2.9g S 188.9   5.4   4:50.18 db_bench
4091120 zhining   20   0   14.1g   3.4g   2.9g S 194.1   5.4   4:53.36 db_bench
4091120 zhining   20   0   14.1g   3.4g   2.9g S 182.4   5.4   4:55.55 db_bench
4091120 zhining   20   0   14.1g   3.4g   2.9g S 311.8   5.4   4:58.70 db_bench
4091120 zhining   20   0   14.1g   3.4g   2.9g S 211.8   5.4   5:01.18 db_bench
4091120 zhining   20   0   14.1g   3.4g   2.9g S 317.6   5.4   5:04.31 db_bench
4091120 zhining   20   0   14.1g   3.4g   2.9g S 282.4   5.4   5:07.69 db_bench
4091120 zhining   20   0   14.1g   3.4g   2.9g S 288.2   5.4   5:11.27 db_bench
4091120 zhining   20   0   14.1g   3.4g   2.9g S 170.6   5.4   5:14.08 db_bench
4091120 zhining   20   0   14.1g   3.4g   2.9g S 158.8   5.4   5:16.39 db_bench
